year,trait,fold,trait_no
2022.0,gpc,10,0.0
2022.0,gpc,5,0.0
2022.0,gpc,9,0.0
2022.0,gpc,3,0.0
2022.0,gpc,1,0.0
2022.0,gpc,4,0.0
2022.0,gpc,1,0.0
2022.0,gpc,7,0.0
2022.0,gpc,3,0.0
2022.0,gpc,3,0.0
2022.0,gpc,6,0.0
2022.0,gpc,9,0.0
2022.0,gpc,7,0.0
2022.0,gpc,5,0.0
2022.0,gpc,2,0.0
2022.0,gpc,3,0.0
2022.0,gpc,2,0.0
2022.0,gpc,4,0.0
2022.0,gpc,8,0.0
2022.0,gpc,5,0.0
2022.0,gpc,6,0.0
2022.0,gpc,5,0.0
2022.0,gpc,1,0.0
2022.0,gpc,2,0.0
2022.0,gpc,5,0.0
2022.0,gpc,9,0.0
2022.0,gpc,8,0.0
2022.0,gpc,2,0.0
2022.0,gpc,10,0.0
2022.0,gpc,3,0.0
2022.0,gpc,10,0.0
2022.0,gpc,9,0.0
2022.0,gpc,9,0.0
2022.0,gpc,7,0.0
2022.0,gpc,10,0.0
2022.0,gpc,1,0.0
2022.0,gpc,8,0.0
2022.0,gpc,9,0.0
2022.0,gpc,4,0.0
2022.0,gpc,7,0.0
2022.0,gpc,5,0.0
2022.0,gpc,1,0.0
2022.0,gpc,6,0.0
2022.0,gpc,4,0.0
2022.0,gpc,8,0.0
2022.0,gpc,2,0.0
2022.0,gpc,3,0.0
2022.0,gpc,4,0.0
2022.0,gpc,9,0.0
2022.0,gpc,4,0.0
2022.0,gpc,1,0.0
2022.0,gpc,5,0.0
2022.0,gpc,6,0.0
2022.0,gpc,1,0.0
2022.0,gpc,5,0.0
2022.0,gpc,5,0.0
2022.0,gpc,4,0.0
2022.0,gpc,6,0.0
2022.0,gpc,1,0.0
2022.0,gpc,7,0.0
2022.0,gpc,8,0.0
2022.0,gpc,2,0.0
2022.0,gpc,3,0.0
2022.0,gpc,2,0.0
2022.0,gpc,4,0.0
2022.0,gpc,4,0.0
2022.0,gpc,8,0.0
2022.0,gpc,4,0.0
2022.0,gpc,10,0.0
2022.0,tw,1,1.0
2022.0,tw,4,1.0
2022.0,tw,8,1.0
2022.0,tw,3,1.0
2022.0,tw,10,1.0
2022.0,tw,10,1.0
2022.0,tw,6,1.0
2022.0,tw,6,1.0
2022.0,tw,10,1.0
2022.0,tw,7,1.0
2022.0,tw,10,1.0
2022.0,tw,7,1.0
2022.0,tw,5,1.0
2022.0,tw,2,1.0
2022.0,tw,1,1.0
2022.0,tw,6,1.0
2022.0,tw,6,1.0
2022.0,tw,10,1.0
2022.0,tw,7,1.0
2022.0,tw,8,1.0
2022.0,tw,5,1.0
2022.0,tw,3,1.0
2022.0,tw,8,1.0
2022.0,tw,10,1.0
2022.0,tw,1,1.0
2022.0,tw,3,1.0
2022.0,tw,5,1.0
2022.0,tw,2,1.0
2022.0,tw,2,1.0
2022.0,tw,4,1.0
2022.0,tw,4,1.0
2022.0,tw,9,1.0
2022.0,tw,8,1.0
2022.0,tw,9,1.0
2022.0,tw,7,1.0
2022.0,tw,3,1.0
2022.0,tw,6,1.0
2022.0,tw,3,1.0
2022.0,tw,7,1.0
2022.0,tw,5,1.0
2022.0,tw,10,1.0
2022.0,tw,9,1.0
2022.0,tw,5,1.0
2022.0,tw,1,1.0
2022.0,tw,6,1.0
2022.0,tw,7,1.0
2022.0,tw,10,1.0
2022.0,tw,2,1.0
2022.0,tw,8,1.0
2022.0,tw,2,1.0
2022.0,tw,6,1.0
2022.0,tw,9,1.0
2022.0,tw,4,1.0
2022.0,tw,10,1.0
2022.0,tw,9,1.0
2022.0,tw,7,1.0
2022.0,tw,1,1.0
2022.0,tw,7,1.0
2022.0,tw,1,1.0
2022.0,tw,8,1.0
2022.0,tw,6,1.0
2022.0,tw,7,1.0
2022.0,tw,3,1.0
2022.0,tw,2,1.0
2022.0,tw,9,1.0
2022.0,tw,10,1.0
2022.0,tw,8,1.0
2022.0,tw,1,1.0
2022.0,tw,8,1.0
2022.0,tw,8,1.0
2022.0,tw,7,1.0
2022.0,tw,4,1.0
2022.0,tw,2,1.0
2022.0,tw,9,1.0
2022.0,tw,6,1.0
2022.0,tw,3,1.0
2022.0,tw,3,1.0
2022.0,tw,2,1.0
2022.0,tw,1,1.0
2022.0,tw,6,1.0
2022.0,tw,9,1.0
2022.0,tw,5,1.0
2022.0,tw,10,1.0
2022.0,tw,5,1.0
2022.0,tw,9,1.0
2022.0,tw,3,1.0
2022.0,tw,1,1.0
2022.0,tw,4,1.0
2022.0,tw,1,1.0
2022.0,tw,7,1.0
2022.0,tw,3,1.0
2022.0,tw,3,1.0
2022.0,tw,6,1.0
2022.0,tw,9,1.0
2022.0,tw,7,1.0
2022.0,tw,5,1.0
2022.0,tw,2,1.0
2022.0,tw,3,1.0
2022.0,tw,2,1.0
2022.0,tw,4,1.0
2022.0,tw,8,1.0
2022.0,tw,5,1.0
2022.0,tw,6,1.0
2022.0,tw,5,1.0
2022.0,tw,1,1.0
2022.0,tw,2,1.0
2022.0,tw,5,1.0
2022.0,tw,9,1.0
2022.0,tw,8,1.0
2022.0,tw,2,1.0
2022.0,tw,10,1.0
2022.0,tw,3,1.0
2022.0,tw,10,1.0
2022.0,tw,9,1.0
2022.0,tw,9,1.0
2022.0,tw,7,1.0
2022.0,tw,10,1.0
2022.0,tw,1,1.0
2022.0,tw,8,1.0
2022.0,tw,9,1.0
2022.0,tw,4,1.0
2022.0,tw,7,1.0
2022.0,tw,5,1.0
2022.0,tw,1,1.0
2022.0,tw,6,1.0
2022.0,tw,4,1.0
2022.0,tw,8,1.0
2022.0,tw,2,1.0
2022.0,tw,3,1.0
2022.0,tw,4,1.0
2022.0,tw,9,1.0
2022.0,tw,4,1.0
2022.0,tw,1,1.0
2022.0,tw,5,1.0
2022.0,tw,6,1.0
2022.0,tw,1,1.0
2022.0,tw,5,1.0
2022.0,tw,5,1.0
2022.0,tw,4,1.0
2022.0,tw,6,1.0
2022.0,tw,1,1.0
2022.0,tw,7,1.0
2022.0,tw,8,1.0
2022.0,tw,2,1.0
2022.0,tw,3,1.0
2022.0,tw,2,1.0
2022.0,tw,4,1.0
2022.0,tw,4,1.0
2022.0,tw,8,1.0
2022.0,tw,4,1.0
2022.0,tw,10,1.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,10,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,9,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,6,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,1,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,7,2.0
2022.0,gy_norm,5,2.0
2022.0,gy_norm,2,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,8,2.0
2022.0,gy_norm,4,2.0
2022.0,gy_norm,3,2.0
2022.0,gy_norm,1,2.0
2022.0,gyd,1,3.0
2022.0,gyd,4,3.0
2022.0,gyd,8,3.0
2022.0,gyd,3,3.0
2022.0,gyd,10,3.0
2022.0,gyd,10,3.0
2022.0,gyd,6,3.0
2022.0,gyd,6,3.0
2022.0,gyd,10,3.0
2022.0,gyd,6,3.0
2022.0,gyd,9,3.0
2022.0,gyd,7,3.0
2022.0,gyd,5,3.0
2022.0,gyd,2,3.0
2022.0,gyd,1,3.0
2022.0,gyd,10,3.0
2022.0,gyd,6,3.0
2022.0,gyd,6,3.0
2022.0,gyd,10,3.0
2022.0,gyd,7,3.0
2022.0,gyd,8,3.0
2022.0,gyd,5,3.0
2022.0,gyd,3,3.0
2022.0,gyd,8,3.0
2022.0,gyd,10,3.0
2022.0,gyd,5,3.0
2022.0,gyd,2,3.0
2022.0,gyd,2,3.0
2022.0,gyd,4,3.0
2022.0,gyd,4,3.0
2022.0,gyd,9,3.0
2022.0,gyd,9,3.0
2022.0,gyd,9,3.0
2022.0,gyd,7,3.0
2022.0,gyd,3,3.0
2022.0,gyd,6,3.0
2022.0,gyd,3,3.0
2022.0,gyd,7,3.0
2022.0,gyd,5,3.0
2022.0,gyd,10,3.0
2022.0,gyd,9,3.0
2022.0,gyd,5,3.0
2022.0,gyd,1,3.0
2022.0,gyd,6,3.0
2022.0,gyd,7,3.0
2022.0,gyd,10,3.0
2022.0,gyd,2,3.0
2022.0,gyd,8,3.0
2022.0,gyd,2,3.0
2022.0,gyd,6,3.0
2022.0,gyd,3,3.0
2022.0,gyd,4,3.0
2022.0,gyd,10,3.0
2022.0,gyd,9,3.0
2022.0,gyd,7,3.0
2022.0,gyd,1,3.0
2022.0,gyd,7,3.0
2022.0,gyd,1,3.0
2022.0,gyd,8,3.0
2022.0,gyd,6,3.0
2022.0,gyd,7,3.0
2022.0,gyd,3,3.0
2022.0,gyd,2,3.0
2022.0,gyd,10,3.0
2022.0,gyd,10,3.0
2022.0,gyd,10,3.0
2022.0,gyd,1,3.0
2022.0,gyd,8,3.0
2022.0,gyd,8,3.0
2022.0,gyd,7,3.0
2022.0,gyd,4,3.0
2022.0,gyd,2,3.0
2022.0,gyd,9,3.0
2022.0,gyd,6,3.0
2022.0,gyd,3,3.0
2022.0,gyd,3,3.0
2022.0,gyd,2,3.0
2022.0,gyd,1,3.0
2022.0,gyd,10,3.0
2022.0,gyd,9,3.0
2022.0,gyd,5,3.0
2022.0,gyd,10,3.0
2022.0,gyd,5,3.0
2022.0,gyd,5,3.0
2022.0,gyd,9,3.0
2022.0,gyd,3,3.0
2022.0,gyd,1,3.0
2022.0,gyd,4,3.0
2022.0,gyd,7,3.0
2022.0,gyd,3,3.0
2022.0,gyd,2,3.0
2022.0,gyd,4,3.0
2022.0,gyd,5,3.0
2022.0,gyd,4,3.0
2022.0,gyd,6,3.0
2022.0,gyd,7,3.0
2022.0,gyd,8,3.0
2022.0,gyd,8,3.0
2022.0,gyd,5,3.0
2022.0,gyd,1,3.0
2022.0,gyd,2,3.0
2022.0,gyd,4,3.0
2022.0,gyd,5,3.0
2022.0,gyd,9,3.0
2022.0,gyd,9,3.0
2022.0,gyd,2,3.0
2022.0,gyd,4,3.0
2022.0,gyd,6,3.0
2022.0,gyd,10,3.0
2022.0,gyd,7,3.0
2022.0,gyd,8,3.0
2022.0,gyd,5,3.0
2022.0,gyd,8,3.0
2022.0,gyd,1,3.0
2022.0,gyd,8,3.0
2022.0,gyd,10,3.0
2022.0,gyd,4,3.0
2022.0,gyd,3,3.0
2022.0,gyd,7,3.0
2022.0,gyd,1,3.0
2022.0,gyd,2,3.0
2022.0,gyd,9,3.0
2022.0,gyd,4,3.0
2022.0,gyd,6,3.0
2022.0,gyd,4,3.0
2022.0,gyd,1,3.0
2022.0,gyd,7,3.0
2022.0,gyd,1,3.0
2022.0,gyd,9,3.0
2022.0,gyd,6,3.0
2022.0,gyd,8,3.0
2022.0,gyd,2,3.0
2022.0,gyd,4,3.0
2022.0,gyd,2,3.0
2022.0,gyd,6,3.0
2022.0,gyd,1,3.0
2022.0,gyd,5,3.0
2022.0,gyd,4,3.0
2022.0,gyd,2,3.0
2022.0,gyd,4,3.0
2022.0,gyd,7,3.0
2022.0,gyd,9,3.0
2022.0,gyd,9,3.0
2022.0,gyd,1,3.0
2022.0,gyd,3,3.0
2022.0,gyd,1,3.0
2022.0,gyd,8,3.0
2022.0,gyd,8,3.0
2022.0,gyd,3,3.0
2022.0,gyd,3,3.0
2022.0,gyd,5,3.0
2022.0,gyd,5,3.0
2022.0,gyd,3,3.0
2022.0,gyd,7,3.0
2022.0,gpd,1,4.0
2022.0,gpd,4,4.0
2022.0,gpd,8,4.0
2022.0,gpd,3,4.0
2022.0,gpd,10,4.0
2022.0,gpd,10,4.0
2022.0,gpd,6,4.0
2022.0,gpd,6,4.0
2022.0,gpd,10,4.0
2022.0,gpd,6,4.0
2022.0,gpd,9,4.0
2022.0,gpd,7,4.0
2022.0,gpd,5,4.0
2022.0,gpd,2,4.0
2022.0,gpd,1,4.0
2022.0,gpd,10,4.0
2022.0,gpd,6,4.0
2022.0,gpd,6,4.0
2022.0,gpd,10,4.0
2022.0,gpd,7,4.0
2022.0,gpd,8,4.0
2022.0,gpd,5,4.0
2022.0,gpd,3,4.0
2022.0,gpd,8,4.0
2022.0,gpd,10,4.0
2022.0,gpd,5,4.0
2022.0,gpd,2,4.0
2022.0,gpd,2,4.0
2022.0,gpd,4,4.0
2022.0,gpd,4,4.0
2022.0,gpd,9,4.0
2022.0,gpd,9,4.0
2022.0,gpd,9,4.0
2022.0,gpd,7,4.0
2022.0,gpd,3,4.0
2022.0,gpd,6,4.0
2022.0,gpd,3,4.0
2022.0,gpd,7,4.0
2022.0,gpd,5,4.0
2022.0,gpd,10,4.0
2022.0,gpd,9,4.0
2022.0,gpd,5,4.0
2022.0,gpd,1,4.0
2022.0,gpd,6,4.0
2022.0,gpd,7,4.0
2022.0,gpd,10,4.0
2022.0,gpd,2,4.0
2022.0,gpd,8,4.0
2022.0,gpd,2,4.0
2022.0,gpd,6,4.0
2022.0,gpd,3,4.0
2022.0,gpd,4,4.0
2022.0,gpd,10,4.0
2022.0,gpd,9,4.0
2022.0,gpd,7,4.0
2022.0,gpd,1,4.0
2022.0,gpd,7,4.0
2022.0,gpd,1,4.0
2022.0,gpd,8,4.0
2022.0,gpd,6,4.0
2022.0,gpd,7,4.0
2022.0,gpd,3,4.0
2022.0,gpd,2,4.0
2022.0,gpd,10,4.0
2022.0,gpd,10,4.0
2022.0,gpd,10,4.0
2022.0,gpd,1,4.0
2022.0,gpd,8,4.0
2022.0,gpd,8,4.0
2022.0,gpd,7,4.0
2022.0,gpd,4,4.0
2022.0,gpd,2,4.0
2022.0,gpd,9,4.0
2022.0,gpd,6,4.0
2022.0,gpd,3,4.0
2022.0,gpd,3,4.0
2022.0,gpd,2,4.0
2022.0,gpd,1,4.0
2022.0,gpd,10,4.0
2022.0,gpd,9,4.0
2022.0,gpd,5,4.0
2022.0,gpd,10,4.0
2022.0,gpd,5,4.0
2022.0,gpd,5,4.0
2022.0,gpd,9,4.0
2022.0,gpd,3,4.0
2022.0,gpd,1,4.0
2022.0,gpd,4,4.0
2022.0,gpd,7,4.0
2022.0,gpd,3,4.0
2022.0,gpd,2,4.0
2022.0,gpd,4,4.0
2022.0,gpd,5,4.0
2022.0,gpd,4,4.0
2022.0,gpd,6,4.0
2022.0,gpd,7,4.0
2022.0,gpd,8,4.0
2022.0,gpd,8,4.0
2022.0,gpd,5,4.0
2022.0,gpd,1,4.0
2022.0,gpd,2,4.0
2022.0,gpd,4,4.0
2022.0,gpd,5,4.0
2022.0,gpd,9,4.0
2022.0,gpd,9,4.0
2022.0,gpd,2,4.0
2022.0,gpd,4,4.0
2022.0,gpd,6,4.0
2022.0,gpd,10,4.0
2022.0,gpd,7,4.0
2022.0,gpd,8,4.0
2022.0,gpd,5,4.0
2022.0,gpd,8,4.0
2022.0,gpd,1,4.0
2022.0,gpd,8,4.0
2022.0,gpd,10,4.0
2022.0,gpd,4,4.0
2022.0,gpd,3,4.0
2022.0,gpd,7,4.0
2022.0,gpd,1,4.0
2022.0,gpd,2,4.0
2022.0,gpd,9,4.0
2022.0,gpd,4,4.0
2022.0,gpd,6,4.0
2022.0,gpd,4,4.0
2022.0,gpd,1,4.0
2022.0,gpd,7,4.0
2022.0,gpd,1,4.0
2022.0,gpd,9,4.0
2022.0,gpd,6,4.0
2022.0,gpd,8,4.0
2022.0,gpd,2,4.0
2022.0,gpd,4,4.0
2022.0,gpd,2,4.0
2022.0,gpd,6,4.0
2022.0,gpd,1,4.0
2022.0,gpd,5,4.0
2022.0,gpd,4,4.0
2022.0,gpd,2,4.0
2022.0,gpd,4,4.0
2022.0,gpd,7,4.0
2022.0,gpd,9,4.0
2022.0,gpd,9,4.0
2022.0,gpd,1,4.0
2022.0,gpd,3,4.0
2022.0,gpd,1,4.0
2022.0,gpd,8,4.0
2022.0,gpd,8,4.0
2022.0,gpd,3,4.0
2022.0,gpd,3,4.0
2022.0,gpd,5,4.0
2022.0,gpd,5,4.0
2022.0,gpd,3,4.0
2022.0,gpd,7,4.0
2023.0,gpc,5,0.0
2023.0,gpc,1,0.0
2023.0,gpc,9,0.0
2023.0,gpc,5,0.0
2023.0,gpc,10,0.0
2023.0,gpc,7,0.0
2023.0,gpc,2,0.0
2023.0,gpc,2,0.0
2023.0,gpc,9,0.0
2023.0,gpc,2,0.0
2023.0,gpc,2,0.0
2023.0,gpc,9,0.0
2023.0,gpc,2,0.0
2023.0,gpc,6,0.0
2023.0,gpc,6,0.0
2023.0,gpc,5,0.0
2023.0,gpc,9,0.0
2023.0,gpc,1,0.0
2023.0,gpc,10,0.0
2023.0,gpc,5,0.0
2023.0,gpc,2,0.0
2023.0,gpc,4,0.0
2023.0,gpc,8,0.0
2023.0,gpc,10,0.0
2023.0,gpc,3,0.0
2023.0,gpc,6,0.0
2023.0,gpc,4,0.0
2023.0,gpc,1,0.0
2023.0,gpc,10,0.0
2023.0,gpc,5,0.0
2023.0,gpc,7,0.0
2023.0,gpc,4,0.0
2023.0,gpc,5,0.0
2023.0,gpc,3,0.0
2023.0,gpc,5,0.0
2023.0,gpc,10,0.0
2023.0,gpc,3,0.0
2023.0,gpc,5,0.0
2023.0,gpc,3,0.0
2023.0,gpc,8,0.0
2023.0,gpc,4,0.0
2023.0,gpc,4,0.0
2023.0,gpc,8,0.0
2023.0,gpc,4,0.0
2023.0,gpc,4,0.0
2023.0,gpc,7,0.0
2023.0,gpc,5,0.0
2023.0,gpc,7,0.0
2023.0,gpc,2,0.0
2023.0,gpc,9,0.0
2023.0,gpc,1,0.0
2023.0,gpc,9,0.0
2023.0,gpc,8,0.0
2023.0,gpc,9,0.0
2023.0,gpc,5,0.0
2023.0,gpc,3,0.0
2023.0,gpc,3,0.0
2023.0,gpc,3,0.0
2023.0,gpc,10,0.0
2023.0,gpc,6,0.0
2023.0,gpc,6,0.0
2023.0,gpc,10,0.0
2023.0,gpc,7,0.0
2023.0,gpc,2,0.0
2023.0,gpc,10,0.0
2023.0,gpc,10,0.0
2023.0,gpc,4,0.0
2023.0,gpc,9,0.0
2023.0,gpc,9,0.0
2023.0,gpc,8,0.0
2023.0,gpc,9,0.0
2023.0,gpc,8,0.0
2023.0,gpc,8,0.0
2023.0,gpc,3,0.0
2023.0,gpc,10,0.0
2023.0,gpc,2,0.0
2023.0,gpc,8,0.0
2023.0,gpc,3,0.0
2023.0,gpc,4,0.0
2023.0,gpc,1,0.0
2023.0,gpc,6,0.0
2023.0,gpc,2,0.0
2023.0,gpc,6,0.0
2023.0,gpc,3,0.0
2023.0,gpc,5,0.0
2023.0,gpc,7,0.0
2023.0,gpc,2,0.0
2023.0,gpc,2,0.0
2023.0,gpc,6,0.0
2023.0,gpc,10,0.0
2023.0,gpc,10,0.0
2023.0,gpc,3,0.0
2023.0,gpc,3,0.0
2023.0,gpc,6,0.0
2023.0,gpc,1,0.0
2023.0,gpc,7,0.0
2023.0,gpc,4,0.0
2023.0,gpc,7,0.0
2023.0,gpc,1,0.0
2023.0,gpc,1,0.0
2023.0,gpc,2,0.0
2023.0,gpc,1,0.0
2023.0,gpc,8,0.0
2023.0,gpc,8,0.0
2023.0,gpc,6,0.0
2023.0,gpc,10,0.0
2023.0,gpc,7,0.0
2023.0,gpc,1,0.0
2023.0,gpc,7,0.0
2023.0,gpc,7,0.0
2023.0,gpc,9,0.0
2023.0,gpc,5,0.0
2023.0,gpc,1,0.0
2023.0,gpc,1,0.0
2023.0,gpc,5,0.0
2023.0,gpc,10,0.0
2023.0,gpc,4,0.0
2023.0,gpc,8,0.0
2023.0,gpc,10,0.0
2023.0,gpc,3,0.0
2023.0,gpc,9,0.0
2023.0,gpc,6,0.0
2023.0,gpc,2,0.0
2023.0,gpc,3,0.0
2023.0,gpc,4,0.0
2023.0,gpc,7,0.0
2023.0,gpc,4,0.0
2023.0,gpc,8,0.0
2023.0,gpc,5,0.0
2023.0,gpc,6,0.0
2023.0,gpc,8,0.0
2023.0,gpc,7,0.0
2023.0,gpc,9,0.0
2023.0,gpc,7,0.0
2023.0,gpc,8,0.0
2023.0,gpc,5,0.0
2023.0,gpc,6,0.0
2023.0,gpc,1,0.0
2023.0,gpc,4,0.0
2023.0,gpc,9,0.0
2023.0,gpc,9,0.0
2023.0,gpc,8,0.0
2023.0,gpc,1,0.0
2023.0,gpc,1,0.0
2023.0,gpc,7,0.0
2023.0,gpc,2,0.0
2023.0,gpc,3,0.0
2023.0,gpc,6,0.0
2023.0,gpc,4,0.0
2023.0,tw,5,1.0
2023.0,tw,1,1.0
2023.0,tw,9,1.0
2023.0,tw,5,1.0
2023.0,tw,10,1.0
2023.0,tw,7,1.0
